ligand,receptor,secreted
BDNF,TRPC1,TRUE
CXCL12,GNAI2,FALSE
PF4,GNAI2,TRUE
EPOR,TRPC3,FALSE
EPOR,EPO,FALSE
IL10,EPO,TRUE
IFNG,EPO,TRUE
KITLG,EPO,TRUE
PTPN6,EPO,TRUE
CSF2,EPO,TRUE
IL1B,EPO,TRUE
IL3,EPO,TRUE
IL6R,EPO,FALSE
IL9,EPO,TRUE
KL,TRPV6,FALSE
S100A10,TRPV6,TRUE
RGS2,TRPV6,FALSE
FGF3,NTRK2,TRUE
IGF1,NTRK2,TRUE
IGF2,NTRK2,TRUE
FLT3LG,NTRK2,FALSE
KITLG,NTRK2,TRUE
EGF,NTRK2,TRUE
NGF,NTRK2,TRUE
TGFA,NTRK2,FALSE
CSF1,NTRK2,FALSE
HGF,NTRK2,TRUE
INS,NTRK2,TRUE
AREG,NTRK2,TRUE
PDGFC,NTRK2,FALSE
PDGFA,NTRK2,TRUE
PDGFB,NTRK2,FALSE
FGF1,NTRK2,TRUE
FGF2,NTRK2,TRUE
FGF4,NTRK2,TRUE
FGF7,NTRK2,TRUE
FGF8,NTRK2,TRUE
FGF9,NTRK2,FALSE
FGF10,NTRK2,FALSE
VEGFB,NTRK2,TRUE
EFNA1,NTRK2,FALSE
EFNA2,NTRK2,FALSE
EFNA5,NTRK2,FALSE
EFNA3,NTRK2,FALSE
EFNA4,NTRK2,FALSE
ANGPT2,NTRK2,TRUE
ANGPT1,NTRK2,TRUE
ANGPT4,NTRK2,TRUE
PDGFD,NTRK2,TRUE
FGF6,NTRK2,TRUE
FGF17,NTRK2,TRUE
FGF18,NTRK2,TRUE
FGF22,NTRK2,TRUE
BDNF,NTRK2,TRUE
NTF3,NTRK2,TRUE
EREG,NTRK2,TRUE
VEGFA,NTRK2,FALSE
VEGFC,NTRK2,TRUE
VEGFD,NTRK2,TRUE
NTF4,NTRK2,TRUE
FGF5,NTRK2,TRUE
FGF19,NTRK2,TRUE
FGF16,NTRK2,TRUE
